Model,Weight_g,Max_Speed_ms,Flight_Time_min,Actual_Flight_Time_min,Range_km,Camera_MP,Price_USD
DJI Matrice 350 RTK,6300,23,55,40.4,20,48,15000
DJI Mavic 3 Enterprise,920,21,45,40.0,15,20,3500
Autel EVO Max 4T,1990,23,42,35.0,25,48,9000
Skydio X10,1300,20,35,29.0,10,48,7000
Parrot Anafi Ai,898,16,32,24.7,22,48,5000
Generic_UAV_Platform_0,1657,23,42,31.3,2,20,4109
Generic_UAV_Platform_1,9280,14,39,26.7,4,108,18301
Generic_UAV_Platform_2,4200,20,35,29.5,10,12,8831
Generic_UAV_Platform_3,2988,22,20,16.1,10,20,5457
Generic_UAV_Platform_4,758,18,26,22.4,12,64,3769
Generic_UAV_Platform_5,758,21,31,22.8,17,64,3093
Generic_UAV_Platform_6,429,18,39,35.4,9,48,2925
Generic_UAV_Platform_7,6283,13,35,29.3,10,48,12576
Generic_UAV_Platform_8,3007,22,44,32.7,7,64,7515
Generic_UAV_Platform_9,3943,23,39,28.4,12,48,8404
Generic_UAV_Platform_10,312,20,35,27.0,8,12,2454
Generic_UAV_Platform_11,10760,14,57,40.4,8,48,20297
Generic_UAV_Platform_12,5609,14,39,30.9,12,108,11993
Generic_UAV_Platform_13,966,13,30,24.8,15,48,2169
Generic_UAV_Platform_14,852,21,53,41.4,2,20,3893
Generic_UAV_Platform_15,857,23,47,38.8,11,12,4477
Generic_UAV_Platform_16,1338,19,53,40.1,8,20,5228
Generic_UAV_Platform_17,2481,21,33,25.2,14,20,6432
Generic_UAV_Platform_18,1946,14,44,35.4,8,108,6714
Generic_UAV_Platform_19,1282,18,20,16.3,16,12,2344
Generic_UAV_Platform_20,3089,12,42,36.5,6,12,7204
Generic_UAV_Platform_21,700,14,33,26.0,2,12,3060
Generic_UAV_Platform_22,1286,21,21,17.1,15,12,3371
Generic_UAV_Platform_23,1618,17,45,37.6,5,12,5383
Generic_UAV_Platform_24,2076,22,16,11.6,2,108,6284
Generic_UAV_Platform_25,4863,20,15,11.9,10,48,9206
Generic_UAV_Platform_26,918,28,38,28.1,8,20,4034
